title,revenue,type
Avatar,2920357254,movie
"Avengers: Endgame",2799439100,movie
"Avatar: The Way of Water",2320250281,movie
Titanic,2187463944,movie
"Star Wars: The Force Awakens",2068223624,movie
"Avengers: Infinity War",2052415039,movie
"Spider-Man: No Way Home",1921847111,movie
"Jurassic World",1671537444,movie
"The Lion King",1663075401,movie
"The Avengers",1518815515,movie
"Honkai Star Rail (WRL Server)",479000000,game
"Genshin Impact (WRL Server)",455000000,game
"Honkai Star Rail (Asia Server)",375100000,game
"Genshin Impact (Asia Server)",352000000,game
"Uma Musume",331000000,game
FGO,286000000,game
NIKKE,262000000,game
Thriller,130000000,Album
"Blue Archive",125000000,game
"Heaven Burns Red",120000000,game
"Project Sekai",113000000,game
"Aap Kaa Surroor",55000000,Album
"The Dark Side of the Moon",50000000,Album
"Back in Black",49000000,Album
"The Bodyguard",44000000,Album
"Bat Out of Hell",43000000,Album
"Eagles Their Greatest Hits (1971–1975)",42000000,Album
"Dirty Dancing",42000000,Album
Millennium,40000000,Album
"Saturday Night Fever",40000000,Album
